permitCategoryRef,temporaryCessation,compliancePerformanceBand,billableDays,financialDays,chargePeriod,preConstruction,environmentFlag,expectedCharge,expbaselineCharge,exptemporaryCessation,expcomplianceAdjustment,iteration,expchargeType
2.11.1,true,A,1,365,FY2122,false,TEST,0.32,246,123,116.85,1,","
2.11.2,false,B,5,365,FY2122,false,TEST,19.32,1410,0,1410,2,","
2.11.3,true,C,10,365,FY2122,false,TEST,117.73,7813,3906.5,4297.15,3,","
2.15.1,false,,10,365,FY2122,false,TEST,14.52,530,0,530,4,","
2.15.2,true,,20,365,FY2122,false,TEST,14.52,530,265,265,5,","
2.15.3,false,,25,365,FY2122,false,TEST,36.3,530,0,530,6,","
2.15.4,true,,30,365,FY2122,false,TEST,21.78,530,265,265,7,","
2.16.1,false,A,35,365,FY2122,false,TEST,1017.36,11168,0,10609.6,8,","
2.16.10,true,B,40,365,FY2122,false,TEST,60.77,1109,554.5,554.5,9,","
2.16.11,false,C,45,365,FY2122,false,TEST,1494.36,11019,0,12120.9,10,","
2.16.13,true,D,50,365,FY2122,false,TEST,662.33,7736,3868,4835,11,","
2.16.14,false,E,55,365,FY2122,false,TEST,1328.36,5877,0,8815.5,12,","
2.16.15,true,F,60,365,FY2122,false,TEST,939.21,3809,1904.5,5713.5,13,","
2.16.16,false, ,65,365,FY2122,false,TEST,375.04,2106,0,2106,14,","
2.16.17,true,A,70,365,FY2122,false,TEST,121.7,1336,668,634.6,15,","
2.16.18,false,B,75,365,FY2122,false,TEST,1206.58,5872,0,5872,16,","
2.16.19,true,C,80,365,FY2122,false,TEST,482.92,4006,2003,2203.3,17,","
2.16.2,false,D,85,365,FY2122,false,TEST,2411.73,8285,0,10356.25,18,","
2.16.20,true,E,90,365,FY2122,false,TEST,474.72,2567,1283.5,1925.25,19,","
2.16.21,false,F,95,365,FY2122,false,TEST,1454.67,1863,0,5589,20,","
2.16.22,true, ,100,365,FY2122,false,TEST,133.01,971,485.5,485.5,21,","
2.16.3,false,A,105,365,FY2122,false,TEST,1323.26,4842,0,4599.9,22,","
2.16.4,true,B,110,365,FY2122,false,TEST,375.96,2495,1247.5,1247.5,23,","
2.16.5,false,C,115,365,FY2122,false,TEST,448.82,1295,0,1424.5,24,","
2.16.6,true,D,120,365,FY2122,false,TEST,1190.55,5794,2897,3621.25,25,","
